epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.965,0.71165,1.75881,0.89442,0.6665,0.49159,0.54683,0.42768,0.73383,0.84125,0.85281,0.000331429,0.000331429,0.000331429
2,70.6827,0.68924,0.72658,0.8855,0.57899,0.59659,0.60859,0.46776,0.73913,0.73601,0.85863,0.000658181,0.000658181,0.000658181
3,105.022,0.69348,0.66892,0.88875,0.78486,0.58332,0.62487,0.48704,0.74505,0.69555,0.86497,0.000978333,0.000978333,0.000978333
4,138.745,0.67478,0.61303,0.88645,0.74731,0.60984,0.66937,0.50923,0.73587,0.64244,0.86528,0.0009703,0.0009703,0.0009703
5,172.373,0.65363,0.5616,0.87667,0.79199,0.59682,0.6778,0.52266,0.69866,0.63077,0.85184,0.0009604,0.0009604,0.0009604
6,206.203,0.64569,0.54152,0.87474,0.8601,0.63462,0.69223,0.52948,0.71182,0.62075,0.84816,0.0009505,0.0009505,0.0009505
7,240.42,0.62263,0.5044,0.86798,0.82121,0.62006,0.70911,0.55318,0.67324,0.59061,0.84891,0.0009406,0.0009406,0.0009406
8,273.981,0.60938,0.49428,0.86203,0.83079,0.65527,0.74216,0.55853,0.70384,0.54796,0.84595,0.0009307,0.0009307,0.0009307
9,307.861,0.61319,0.47284,0.86345,0.87356,0.63501,0.71459,0.54756,0.692,0.53103,0.84776,0.0009208,0.0009208,0.0009208
10,340.774,0.59255,0.45482,0.8539,0.84601,0.61721,0.70612,0.564,0.64289,0.54662,0.83326,0.0009109,0.0009109,0.0009109
11,374.254,0.58242,0.44911,0.85243,0.84944,0.65657,0.76205,0.58421,0.65503,0.5538,0.84325,0.000901,0.000901,0.000901
12,407.861,0.57523,0.43756,0.8523,0.79498,0.65943,0.73188,0.56697,0.63678,0.54581,0.8314,0.0008911,0.0008911,0.0008911
13,440.846,0.56922,0.42903,0.85081,0.84509,0.64478,0.73983,0.57909,0.64609,0.51784,0.83433,0.0008812,0.0008812,0.0008812
14,474.216,0.56744,0.42585,0.84441,0.80956,0.72994,0.7664,0.60026,0.64577,0.51512,0.8368,0.0008713,0.0008713,0.0008713
15,507.311,0.5649,0.42155,0.84561,0.90243,0.62538,0.75508,0.58779,0.61695,0.54662,0.82463,0.0008614,0.0008614,0.0008614
16,540.375,0.54603,0.40236,0.84398,0.84521,0.68376,0.7677,0.60185,0.64196,0.49161,0.83841,0.0008515,0.0008515,0.0008515
17,574.196,0.54036,0.38969,0.83923,0.8421,0.7143,0.77832,0.6018,0.64002,0.47696,0.83487,0.0008416,0.0008416,0.0008416
18,608.343,0.53465,0.38321,0.83938,0.85069,0.72915,0.79523,0.61405,0.62503,0.47818,0.83032,0.0008317,0.0008317,0.0008317
19,641.603,0.52733,0.38139,0.8372,0.82395,0.72485,0.77891,0.62457,0.62756,0.48499,0.83151,0.0008218,0.0008218,0.0008218
20,675.995,0.52517,0.37944,0.83488,0.87267,0.69172,0.78831,0.62694,0.6227,0.4661,0.83154,0.0008119,0.0008119,0.0008119
21,709.541,0.51952,0.3724,0.83359,0.8601,0.66509,0.75832,0.59638,0.64806,0.49207,0.83743,0.000802,0.000802,0.000802
22,742.981,0.51103,0.37019,0.83533,0.89216,0.64591,0.75751,0.60572,0.61662,0.48719,0.82857,0.0007921,0.0007921,0.0007921
23,776.412,0.50703,0.35931,0.83105,0.8964,0.69423,0.77934,0.62881,0.61987,0.47633,0.82998,0.0007822,0.0007822,0.0007822
24,810.198,0.51129,0.36176,0.83097,0.86258,0.69834,0.76154,0.61293,0.60893,0.46514,0.83039,0.0007723,0.0007723,0.0007723
25,844.091,0.4975,0.35201,0.83227,0.85081,0.69654,0.77028,0.61458,0.61261,0.4562,0.82608,0.0007624,0.0007624,0.0007624
26,878.154,0.5014,0.35344,0.83165,0.79531,0.71304,0.77341,0.61609,0.62029,0.46205,0.83528,0.0007525,0.0007525,0.0007525
27,911.745,0.49661,0.34167,0.82822,0.91106,0.6757,0.77219,0.61768,0.61232,0.47796,0.83226,0.0007426,0.0007426,0.0007426
28,945.498,0.49139,0.33562,0.82462,0.84973,0.68596,0.77706,0.60875,0.61851,0.48119,0.84112,0.0007327,0.0007327,0.0007327
